issue_id,issue_number,title,state,created,closed,labels,user,assignees,closed_by
1740358685,50611,Redesign the testimonial section,open,1685883104,,"[{'id': 252971474, 'node_id': 'MDU6TGFiZWwyNTI5NzE0NzQ=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20UI', 'name': 'scope: UI', 'color': '4969c1', 'default': False, 'description': 'Threads for addressing UX changes and improvements to user interface'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]","{'login': 'kaleemullah786', 'id': 108057345, 'node_id': 'U_kgDOBnDTAQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/108057345?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/kaleemullah786', 'html_url': 'https://github.com/kaleemullah786', 'followers_url': 'https://api.github.com/users/kaleemullah786/followers', 'following_url': 'https://api.github.com/users/kaleemullah786/following{/other_user}', 'gists_url': 'https://api.github.com/users/kaleemullah786/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/kaleemullah786/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/kaleemullah786/subscriptions', 'organizations_url': 'https://api.github.com/users/kaleemullah786/orgs', 'repos_url': 'https://api.github.com/users/kaleemullah786/repos', 'events_url': 'https://api.github.com/users/kaleemullah786/events{/privacy}', 'received_events_url': 'https://api.github.com/users/kaleemullah786/received_events', 'type': 'User', 'site_admin': False}",,
1740353991,50610,Improve the navbar UI,open,1685882539,,"[{'id': 252971474, 'node_id': 'MDU6TGFiZWwyNTI5NzE0NzQ=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20UI', 'name': 'scope: UI', 'color': '4969c1', 'default': False, 'description': 'Threads for addressing UX changes and improvements to user interface'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]","{'login': 'kaleemullah786', 'id': 108057345, 'node_id': 'U_kgDOBnDTAQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/108057345?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/kaleemullah786', 'html_url': 'https://github.com/kaleemullah786', 'followers_url': 'https://api.github.com/users/kaleemullah786/followers', 'following_url': 'https://api.github.com/users/kaleemullah786/following{/other_user}', 'gists_url': 'https://api.github.com/users/kaleemullah786/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/kaleemullah786/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/kaleemullah786/subscriptions', 'organizations_url': 'https://api.github.com/users/kaleemullah786/orgs', 'repos_url': 'https://api.github.com/users/kaleemullah786/repos', 'events_url': 'https://api.github.com/users/kaleemullah786/events{/privacy}', 'received_events_url': 'https://api.github.com/users/kaleemullah786/received_events', 'type': 'User', 'site_admin': False}",,
1740053138,50607,College Algebra with Python - Incorrect assignment statement can pass the test,open,1685842967,,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}, {'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}]","{'login': 'mmatsumoto1026', 'id': 44451585, 'node_id': 'MDQ6VXNlcjQ0NDUxNTg1', 'avatar_url': 'https://avatars.githubusercontent.com/u/44451585?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mmatsumoto1026', 'html_url': 'https://github.com/mmatsumoto1026', 'followers_url': 'https://api.github.com/users/mmatsumoto1026/followers', 'following_url': 'https://api.github.com/users/mmatsumoto1026/following{/other_user}', 'gists_url': 'https://api.github.com/users/mmatsumoto1026/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mmatsumoto1026/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mmatsumoto1026/subscriptions', 'organizations_url': 'https://api.github.com/users/mmatsumoto1026/orgs', 'repos_url': 'https://api.github.com/users/mmatsumoto1026/repos', 'events_url': 'https://api.github.com/users/mmatsumoto1026/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mmatsumoto1026/received_events', 'type': 'User', 'site_admin': False}",,
1738619956,50593,Consider not running github actions on PR's from first timers,open,1685730077,,"[{'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]","{'login': 'jmetev1', 'id': 20405975, 'node_id': 'MDQ6VXNlcjIwNDA1OTc1', 'avatar_url': 'https://avatars.githubusercontent.com/u/20405975?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jmetev1', 'html_url': 'https://github.com/jmetev1', 'followers_url': 'https://api.github.com/users/jmetev1/followers', 'following_url': 'https://api.github.com/users/jmetev1/following{/other_user}', 'gists_url': 'https://api.github.com/users/jmetev1/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jmetev1/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jmetev1/subscriptions', 'organizations_url': 'https://api.github.com/users/jmetev1/orgs', 'repos_url': 'https://api.github.com/users/jmetev1/repos', 'events_url': 'https://api.github.com/users/jmetev1/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jmetev1/received_events', 'type': 'User', 'site_admin': False}",,
1738582312,50592,Polishing the utility buttons in the lower jaw for other languages,open,1685728238,,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}]","{'login': 'Sboonny', 'id': 88248797, 'node_id': 'MDQ6VXNlcjg4MjQ4Nzk3', 'avatar_url': 'https://avatars.githubusercontent.com/u/88248797?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Sboonny', 'html_url': 'https://github.com/Sboonny', 'followers_url': 'https://api.github.com/users/Sboonny/followers', 'following_url': 'https://api.github.com/users/Sboonny/following{/other_user}', 'gists_url': 'https://api.github.com/users/Sboonny/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Sboonny/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Sboonny/subscriptions', 'organizations_url': 'https://api.github.com/users/Sboonny/orgs', 'repos_url': 'https://api.github.com/users/Sboonny/repos', 'events_url': 'https://api.github.com/users/Sboonny/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Sboonny/received_events', 'type': 'User', 'site_admin': False}",,
1738490748,50590,In Machine Learning course the Linear regression example is actually Linear classification,open,1685723530,,[],"{'login': 'Boh0iQuee3', 'id': 134109297, 'node_id': 'U_kgDOB_5YcQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/134109297?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Boh0iQuee3', 'html_url': 'https://github.com/Boh0iQuee3', 'followers_url': 'https://api.github.com/users/Boh0iQuee3/followers', 'following_url': 'https://api.github.com/users/Boh0iQuee3/following{/other_user}', 'gists_url': 'https://api.github.com/users/Boh0iQuee3/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Boh0iQuee3/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Boh0iQuee3/subscriptions', 'organizations_url': 'https://api.github.com/users/Boh0iQuee3/orgs', 'repos_url': 'https://api.github.com/users/Boh0iQuee3/repos', 'events_url': 'https://api.github.com/users/Boh0iQuee3/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Boh0iQuee3/received_events', 'type': 'User', 'site_admin': False}",,
1736237181,50581,Analytics for /email-sign-up,open,1685623064,,"[{'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]","{'login': 'ojeytonwilliams', 'id': 15801806, 'node_id': 'MDQ6VXNlcjE1ODAxODA2', 'avatar_url': 'https://avatars.githubusercontent.com/u/15801806?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ojeytonwilliams', 'html_url': 'https://github.com/ojeytonwilliams', 'followers_url': 'https://api.github.com/users/ojeytonwilliams/followers', 'following_url': 'https://api.github.com/users/ojeytonwilliams/following{/other_user}', 'gists_url': 'https://api.github.com/users/ojeytonwilliams/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ojeytonwilliams/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ojeytonwilliams/subscriptions', 'organizations_url': 'https://api.github.com/users/ojeytonwilliams/orgs', 'repos_url': 'https://api.github.com/users/ojeytonwilliams/repos', 'events_url': 'https://api.github.com/users/ojeytonwilliams/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ojeytonwilliams/received_events', 'type': 'User', 'site_admin': False}","{'login': 'ahmadabdolsaheb', 'id': 4591597, 'node_id': 'MDQ6VXNlcjQ1OTE1OTc=', 'avatar_url': 'https://avatars.githubusercontent.com/u/4591597?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ahmadabdolsaheb', 'html_url': 'https://github.com/ahmadabdolsaheb', 'followers_url': 'https://api.github.com/users/ahmadabdolsaheb/followers', 'following_url': 'https://api.github.com/users/ahmadabdolsaheb/following{/other_user}', 'gists_url': 'https://api.github.com/users/ahmadabdolsaheb/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ahmadabdolsaheb/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ahmadabdolsaheb/subscriptions', 'organizations_url': 'https://api.github.com/users/ahmadabdolsaheb/orgs', 'repos_url': 'https://api.github.com/users/ahmadabdolsaheb/repos', 'events_url': 'https://api.github.com/users/ahmadabdolsaheb/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ahmadabdolsaheb/received_events', 'type': 'User', 'site_admin': False}",
1736017475,50579,Add test for profile page,open,1685616091,,"[{'id': 802122369, 'node_id': 'MDU6TGFiZWw4MDIxMjIzNjk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20learn', 'name': 'platform: learn', 'color': '59d683', 'default': False, 'description': 'UI side of the client application that needs familiarity with React, Gatsby etc.'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]","{'login': 'Sboonny', 'id': 88248797, 'node_id': 'MDQ6VXNlcjg4MjQ4Nzk3', 'avatar_url': 'https://avatars.githubusercontent.com/u/88248797?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Sboonny', 'html_url': 'https://github.com/Sboonny', 'followers_url': 'https://api.github.com/users/Sboonny/followers', 'following_url': 'https://api.github.com/users/Sboonny/following{/other_user}', 'gists_url': 'https://api.github.com/users/Sboonny/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Sboonny/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Sboonny/subscriptions', 'organizations_url': 'https://api.github.com/users/Sboonny/orgs', 'repos_url': 'https://api.github.com/users/Sboonny/repos', 'events_url': 'https://api.github.com/users/Sboonny/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Sboonny/received_events', 'type': 'User', 'site_admin': False}",,
1735866311,50578,Unclear instructions in step 64 of building a cat photo app,open,1685611439,,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}, {'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}]","{'login': 'Njong392', 'id': 81039882, 'node_id': 'MDQ6VXNlcjgxMDM5ODgy', 'avatar_url': 'https://avatars.githubusercontent.com/u/81039882?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Njong392', 'html_url': 'https://github.com/Njong392', 'followers_url': 'https://api.github.com/users/Njong392/followers', 'following_url': 'https://api.github.com/users/Njong392/following{/other_user}', 'gists_url': 'https://api.github.com/users/Njong392/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Njong392/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Njong392/subscriptions', 'organizations_url': 'https://api.github.com/users/Njong392/orgs', 'repos_url': 'https://api.github.com/users/Njong392/repos', 'events_url': 'https://api.github.com/users/Njong392/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Njong392/received_events', 'type': 'User', 'site_admin': False}",,
1735368511,50576,"Inconsistent number of tutorials across the platforms like /learn, and /news",open,1685589636,,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}, {'id': 802122369, 'node_id': 'MDU6TGFiZWw4MDIxMjIzNjk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20learn', 'name': 'platform: learn', 'color': '59d683', 'default': False, 'description': 'UI side of the client application that needs familiarity with React, Gatsby etc.'}, {'id': 1428240029, 'node_id': 'MDU6TGFiZWwxNDI4MjQwMDI5', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20search', 'name': 'platform: search', 'color': '59d683', 'default': False, 'description': 'Backend indexing logic and scripts for search'}, {'id': 1505209967, 'node_id': 'MDU6TGFiZWwxNTA1MjA5OTY3', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20news', 'name': 'platform: news', 'color': '59d683', 'default': False, 'description': 'Threads for the Developer news'}]","{'login': 'jmetev1', 'id': 20405975, 'node_id': 'MDQ6VXNlcjIwNDA1OTc1', 'avatar_url': 'https://avatars.githubusercontent.com/u/20405975?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jmetev1', 'html_url': 'https://github.com/jmetev1', 'followers_url': 'https://api.github.com/users/jmetev1/followers', 'following_url': 'https://api.github.com/users/jmetev1/following{/other_user}', 'gists_url': 'https://api.github.com/users/jmetev1/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jmetev1/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jmetev1/subscriptions', 'organizations_url': 'https://api.github.com/users/jmetev1/orgs', 'repos_url': 'https://api.github.com/users/jmetev1/repos', 'events_url': 'https://api.github.com/users/jmetev1/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jmetev1/received_events', 'type': 'User', 'site_admin': False}",,
